index,char,confidence,source
711,封,CONFIRMED,manual_ocr
712,風,CONFIRMED,manual_ocr
713,復,CONFIRMED,manual_ocr
714,服,CONFIRMED,manual_ocr
715,腹,CONFIRMED,manual_ocr
716,物,CONFIRMED,manual_ocr
717,分,CONFIRMED,manual_ocr
718,憤,CONFIRMED,manual_ocr
719,粉,CONFIRMED,manual_ocr
720,文,CONFIRMED,manual_ocr
721,聞,CONFIRMED,manual_ocr
722,平,CONFIRMED,manual_ocr
723,別,CONFIRMED,manual_ocr
724,変,CONFIRMED,manual_ocr
725,片,CONFIRMED,manual_ocr
726,返,CONFIRMED,manual_ocr
727,便,CONFIRMED,manual_ocr
728,保,CONFIRMED,manual_ocr
729,歩,CONFIRMED,manual_ocr
730,補,CONFIRMED,manual_ocr
731,母,CONFIRMED,manual_ocr
732,包,CONFIRMED,manual_ocr
733,報,CONFIRMED,manual_ocr
734,放,CONFIRMED,manual_ocr
735,方,CONFIRMED,manual_ocr
736,法,CONFIRMED,manual_ocr
737,泡,CONFIRMED,manual_ocr
738,砲,CONFIRMED,manual_ocr
739,胞,CONFIRMED,manual_ocr
740,蜂,CONFIRMED,manual_ocr
741,乏,CONFIRMED,manual_ocr
742,帽,CONFIRMED,manual_ocr
743,望,CONFIRMED,manual_ocr
744,冒,CONFIRMED,manual_ocr
745,防,CONFIRMED,manual_ocr
746,北,CONFIRMED,manual_ocr
747,本,CONFIRMED,manual_ocr
748,魔,CONFIRMED,manual_ocr
749,枚,CONFIRMED,manual_ocr
750,毎,CONFIRMED,manual_ocr
751,万,CONFIRMED,manual_ocr
752,慢,CONFIRMED,manual_ocr
753,満,CONFIRMED,manual_ocr
754,味,CONFIRMED,manual_ocr
755,魅,CONFIRMED,manual_ocr
756,密,CONFIRMED,manual_ocr
757,眠,CONFIRMED,manual_ocr
758,夢,CONFIRMED,manual_ocr
759,無,CONFIRMED,manual_ocr
760,名,CONFIRMED,manual_ocr
761,命,CONFIRMED,manual_ocr
762,明,CONFIRMED,manual_ocr
763,鳴,CONFIRMED,manual_ocr
764,面,CONFIRMED,manual_ocr
765,猛,CONFIRMED,manual_ocr
766,木,CONFIRMED,manual_ocr
767,目,CONFIRMED,manual_ocr
768,戻,CONFIRMED,manual_ocr
769,問,CONFIRMED,manual_ocr
770,夜,CONFIRMED,manual_ocr
771,野,CONFIRMED,manual_ocr
772,矢,CONFIRMED,manual_ocr
773,約,CONFIRMED,manual_ocr
774,優,CONFIRMED,manual_ocr
775,勇,CONFIRMED,manual_ocr
776,友,CONFIRMED,manual_ocr
777,有,CONFIRMED,manual_ocr
778,由,CONFIRMED,manual_ocr
779,誘,CONFIRMED,manual_ocr
780,遊,CONFIRMED,manual_ocr
781,雄,CONFIRMED,manual_ocr
782,夕,CONFIRMED,manual_ocr
783,予,CONFIRMED,manual_ocr
784,容,CONFIRMED,manual_ocr
785,揺,CONFIRMED,manual_ocr
786,様,CONFIRMED,manual_ocr
787,用,CONFIRMED,manual_ocr
788,葉,CONFIRMED,manual_ocr
789,要,CONFIRMED,manual_ocr
790,陽,CONFIRMED,manual_ocr
791,欲,CONFIRMED,manual_ocr
792,来,CONFIRMED,manual_ocr
793,頼,CONFIRMED,manual_ocr
794,雷,CONFIRMED,manual_ocr
795,落,CONFIRMED,manual_ocr
796,乱,CONFIRMED,manual_ocr
797,利,CONFIRMED,manual_ocr
798,理,CONFIRMED,manual_ocr
799,裏,CONFIRMED,manual_ocr
800,里,CONFIRMED,manual_ocr
801,陸,CONFIRMED,manual_ocr
802,率,CONFIRMED,manual_ocr
803,立,CONFIRMED,manual_ocr
804,流,CONFIRMED,manual_ocr
805,竜,CONFIRMED,manual_ocr
806,旅,CONFIRMED,manual_ocr
807,了,CONFIRMED,manual_ocr
808,両,CONFIRMED,manual_ocr
809,良,CONFIRMED,manual_ocr
810,量,CONFIRMED,manual_ocr
811,力,CONFIRMED,manual_ocr
812,緑,CONFIRMED,manual_ocr
813,輪,CONFIRMED,manual_ocr
814,例,CONFIRMED,manual_ocr
815,冷,CONFIRMED,manual_ocr
816,礼,CONFIRMED,manual_ocr
817,霊,CONFIRMED,manual_ocr
818,歴,CONFIRMED,manual_ocr
819,烈,CONFIRMED,manual_ocr
820,裂,CONFIRMED,manual_ocr
821,恋,CONFIRMED,manual_ocr
822,連,CONFIRMED,manual_ocr
823,路,CONFIRMED,manual_ocr
824,老,CONFIRMED,manual_ocr
825,郎,CONFIRMED,manual_ocr
826,録,CONFIRMED,manual_ocr
827,和,CONFIRMED,manual_ocr
828,話,CONFIRMED,manual_ocr
829,惑,CONFIRMED,manual_ocr
830,慧,CONFIRMED,manual_ocr
831,氣,CONFIRMED,manual_ocr
832,[연기],CONFIRMED,manual_ocr
833,[하트],CONFIRMED,manual_ocr
834,[Zzz],CONFIRMED,manual_ocr
835,各,CONFIRMED,manual_ocr
836,至,CONFIRMED,manual_ocr
837,薬,CONFIRMED,manual_ocr
838,取,CONFIRMED,manual_ocr
839,役,CONFIRMED,manual_ocr
840,申,CONFIRMED,manual_ocr
841,択,CONFIRMED,manual_ocr
842,顔,CONFIRMED,manual_ocr
843,押,CONFIRMED,manual_ocr
